id,branch_id,scene_number,slug,script_excerpt,status,end_state_summary,end_frame_id,created_at,updated_at
2026ebda-8fec-42d8-b720-c36327e7a50f,8d169b4d-00b9-49ad-a112-33fb8749828b,6,int-gingerbread-cottage-continuous,"INT. GINGERBREAD COTTAGE - CONTINUOUS

The interior is as bizarre as the exterior. The furniture is carved from rock candy. The fireplace is a hollowed-out cake. The air is thick with the cloying sweetness, now tinged with something else… something metallic and unsettling.

The witch ushers them in, her smile never wavering. She gestures to a large, sturdy WOODEN CAGE near the hearth.

<center>WITCH</center>
> You must be hungry. Have a seat.

Before Hansel can react, the witch GRABS him. He struggles, but her grip is iron. She shoves him into the cage, the heavy wooden door CLANGING shut with a sickening thud. A large IRON LOCK clicks into place.

Hansel cries out, banging on the bars.

<center>HANSEL</center>
> No! Let me out!

Gretel rushes towards him, but the witch intercepts her, her hand clamping down on Gretel’s shoulder.

<center>WITCH</center>
> You. You'll be useful. Help me.

The witch pushes Gretel towards a pile of dirty dishes by a grimy sink. Gretel’s face crumples, but she obeys, her small hands trembling as she starts to wash.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
2f772e7f-176b-45c7-bf3a-04e15d3934f8,8d169b4d-00b9-49ad-a112-33fb8749828b,9,int-gingerbread-cottage-continuous,"INT. GINGERBREAD COTTAGE - CONTINUOUS

Gretel rushes to Hansel’s cage. Her hands fumble with the heavy iron lock. It’s stiff, resisting her small fingers. She throws her entire weight against it, a desperate sob escaping her lips.

Finally, with a loud CLICK, the lock SPRINGS open. Gretel yanks the door wide. Hansel scrambles out, embracing his sister tightly.

<center>HANSEL</center>
> Gretel! You did it!

They pull apart, their eyes scanning the cottage. Hansel spots a large, ornate CHEST overflowing with glittering JEWELS and gold coins.

<center>HANSEL</center>
> Look!

They frantically stuff their pockets and the few remaining rags they have with the treasure.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
49dea44a-0bbb-402a-b9d0-20d4d06e9c5f,8d169b4d-00b9-49ad-a112-33fb8749828b,10,ext-ancient-forest-night,"EXT. ANCIENT FOREST - NIGHT

Hansel and Gretel burst out of the cottage, the jewels clinking softly in their pockets. They plunge back into the suffocating darkness of the forest, running blindly. The trees seem to lean in, their branches like grasping claws.

Hansel, remembering his earlier mistake, pulls out a handful of smooth, grey STONES from his pocket. He begins to toss them ahead of them, marking their path. He glances back, ensuring they aren't being followed.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
4a577aac-a336-4685-aac7-b8e67509a07b,8d169b4d-00b9-49ad-a112-33fb8749828b,12,ext-forest-edge-day,"EXT. FOREST EDGE - DAY

A small, sputtering FIRE burns in a shallow pit. Hansel and Gretel sit on the ground, huddled close. The jewels are spread out between them, a stark contrast to their emaciated forms and threadbare clothing.

Hansel pokes the fire with a stick. Gretel stares into the flames, her expression unreadable. Their eyes meet. A silent understanding passes between them – a shared trauma, a shared survival.

Hansel looks towards the dark, imposing woods they just escaped. He remembers the echoing words of his parents, the gnawing hunger, the terror of the witch.

<center>GRETEL</center>
> They won’t find us here.

Hansel nods, his gaze steady.

<center>HANSEL</center>
> We don’t need them to.

He looks at Gretel, a flicker of newfound strength in his eyes.

<center>HANSEL</center>
> We have each other. And… this.

He gestures to the jewels, then back to their own determined faces.

<center>HANSEL</center>
> We’ll be alright.

Gretel offers a small, genuine smile. The firelight dances in their eyes, reflecting a resilience forged in the crucible of fear. They are no longer just children lost in the woods; they are survivors, their bond unbreakable.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
9eb2ac20-d5ce-4a25-b790-459547fda7eb,8d169b4d-00b9-49ad-a112-33fb8749828b,7,int-gingerbread-cottage-later,"INT. GINGERBREAD COTTAGE - LATER

QUICK CUTS.

Hansel, gaunt and terrified, is shoved a bowl of thick, greasy gruel through the cage bars by the witch. He recoils, but his hunger forces him to eat.

Gretel, her eyes darting nervously, scrubs a pot with frantic energy. She tries to stay invisible, shrinking away from the witch’s gaze.

The witch, her face contorted in a cruel grin, forces more food into Hansel’s mouth.

Gretel drops a plate, it SHATTERS. The witch glares, her eyes flashing with menace.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
a6750c4a-51c3-4fe6-9bf3-a9c1f160f303,8d169b4d-00b9-49ad-a112-33fb8749828b,1,ext-ancient-forest-day,"EXT. ANCIENT FOREST - DAY

Sunlight struggles to pierce the dense canopy of an ANCIENT, TWISTED FOREST. Towering trees with gnarled branches claw at the pale sky. The air hangs heavy, thick with the scent of damp earth and decaying leaves.

HANSEL (8), a boy with a worn, patched tunic and a desperate glint in his eyes, leads the way. His small hand clutches that of GRETEL (6), whose ragged dress barely covers her thin frame. Her face, smudged with dirt, is a mask of weary apprehension.

SOUND of distant, harsh VOICES (O.S.)

Hansel's head whips around, his brow furrowed. He can almost hear his PARENTS’ cruel words, sharp as shards of ice.

<center>PARENTAL VOICE (O.S.)</center>
> (Whispering, echoing)
> ...too many mouths to feed...

Hansel quickens his pace, pulling Gretel along. Her small legs struggle to keep up, her breath coming in ragged gasps.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
b0c0baf7-6308-493e-af5a-ad20f519f1db,8d169b4d-00b9-49ad-a112-33fb8749828b,11,ext-ancient-forest-dawn,"EXT. ANCIENT FOREST - DAWN

The first rays of dawn paint the sky in hues of orange and pink. Hansel and Gretel stumble out from the treeline, ragged, exhausted, but alive. Their clothes are torn, their faces streaked with dirt and tears, but their pockets bulge with the weight of untold riches. The jewels spill out, catching the nascent sunlight.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
cf42ea7e-73b3-4c2b-aa16-38f1623dc7b4,8d169b4d-00b9-49ad-a112-33fb8749828b,5,ext-gingerbread-cottage-continuous,"EXT. GINGERBREAD COTTAGE - CONTINUOUS

Hansel and Gretel stare, mesmerized. Their hunger gnaws at them, a physical ache. Hansel reaches out a trembling hand, his fingers brushing against the sugary wall. It’s real.

Gretel, her eyes fixed on a windowpane made of clear, hardened SUGAR, can’t resist. She breaks off a small piece of the gingerbread wall. It crumbles in her hand, flakes of sugary sweetness dusting her fingers. She tentatively licks it. Her eyes widen in delight.

Hansel, emboldened, breaks off a larger chunk. He devours it greedily, his hunger momentarily forgotten in the rush of pure sugar. Gretel follows suit, her earlier fear replaced by ravenous need. They gnaw on the walls, their faces smeared with icing and crumbs.

Suddenly, the door CREAKS open.

A figure emerges. It's an OLD WOMAN, impossibly ancient, her face a roadmap of deep wrinkles. She wears a dark, shapeless cloak. But her eyes… her eyes gleam with a predatory intensity. A wide, unsettling SMILE stretches across her thin lips, revealing surprisingly sharp teeth.

<center>WITCH</center>
> Well, hello there, little ones. Lost, are we? Come inside. Warm yourselves.

Her voice is syrupy sweet, but with an underlying rasp that sends a shiver down Hansel's spine. Gretel, still clutching a piece of gingerbread, looks between the witch and her brother.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
d0175959-e34f-4b03-9922-1e31ff434b3f,8d169b4d-00b9-49ad-a112-33fb8749828b,3,ext-ancient-forest-dusk,"EXT. ANCIENT FOREST - DUSK

The last vestiges of daylight bleed from the sky. Shadows lengthen, morphing the familiar trees into monstrous silhouettes. The temperature PLUMMETS.

Hansel and Gretel huddle together at the base of a colossal, moss-covered oak. Their teeth chatter. Gretel sobs silently, burying her face in Hansel's threadbare tunic. Hansel wraps his arms around her, his own body shaking, trying to project a bravery he doesn't feel. The forest groans around them, an unsettling symphony of unseen creatures.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
e200ef65-5490-4c8d-bb37-24fd96ff7963,8d169b4d-00b9-49ad-a112-33fb8749828b,8,int-gingerbread-cottage-later,"INT. GINGERBREAD COTTAGE - LATER

The witch stands by a massive, stone OVEN. Its maw gapes open, radiating intense heat. She holds a colossal, gleaming CLEAVER. The blade reflects the flickering firelight, sharp enough to slice through bone.

She runs a thick thumb along the edge, her smile widening. She glances at Hansel in his cage, then at Gretel, who is frozen by the sink, her face pale with terror.

<center>WITCH</center>
> Time to prepare for the feast.

She turns her attention to Gretel.

<center>WITCH</center>
> Little one, the oven. It needs to be just right. Go. Test the heat.

Gretel stares at the inferno, then at the witch, her mind racing. She takes a hesitant step towards the oven, her body trembling.

<center>GRETEL</center>
> I… I don't know how. It's so hot.

The witch lets out an impatient huff.

<center>WITCH</center>
> Foolish child! Like this!

The witch, with a flourish, leans her head and shoulder into the oven’s opening, demonstrating.

<center>WITCH</center>
> See? You put your head in…

In that instant, Gretel acts. With a surge of adrenaline, she shoves the witch with all her might. The witch, off-balance, tumbles forward into the roaring heat of the oven.

SFX: A guttural SCREAM, cut short.

The heavy oven door SLAMS shut. Gretel gasps, her hands flying to her mouth, tears streaming down her face. She looks at the oven, then at the cage.",draft,,,2026-01-09 17:01:41.086994+00,2026-01-09 17:01:41.086994+00
